project,month,pool_days,pools,base_apy_w,reward_apy_w,organic,avg_pool_tvl,incentives_usd
aave-v3,2026-04,1619,55,0.3095,0.0524,0.8552,335958302,780828
aave-v3,2026-05,1762,60,0.2950,0.2451,0.5462,218047660,2580215
aave-v3,2026-06,1819,62,0.4443,0.3277,0.5756,188241474,3073830
aave-v3,2026-07,2001,65,0.4147,0.3199,0.5646,198789794,3486044
aave-v3,2026-08,2025,67,0.3634,0.1522,0.7048,225668076,1905044
compound-v3,2024-01,93,3,3.1661,1.2571,0.7158,24251713,77679
compound-v3,2024-02,87,3,3.4615,1.1737,0.7468,29294849,81953
compound-v3,2024-03,93,3,5.5393,1.2928,0.8108,29109770,95888
compound-v3,2024-04,90,3,3.8177,0.7440,0.8369,56929641,104440
compound-v3,2024-05,93,3,4.3916,0.7017,0.8622,47136645,84280
compound-v3,2024-06,90,3,5.4390,0.6644,0.8911,30157620,49405
compound-v3,2024-07,119,4,4.0965,0.5749,0.8769,58016272,108734
compound-v3,2024-08,124,4,3.3399,0.4826,0.8737,43577703,71445
compound-v3,2024-09,120,4,3.1396,0.3430,0.9015,26132951,29469
compound-v3,2024-10,153,5,4.9833,0.4876,0.9109,13541402,27676
compound-v3,2024-11,150,5,6.2042,0.5129,0.9236,15177020,31993
compound-v3,2024-12,155,5,7.3062,0.8522,0.8955,15863799,57408
compound-v3,2025-01,155,5,5.6712,0.6762,0.8935,18799213,53985
compound-v3,2025-02,140,5,3.8706,0.4417,0.8976,27692582,46918
compound-v3,2025-03,155,5,3.6325,0.3824,0.9048,48341946,78494
compound-v3,2025-04,150,5,3.2351,0.3771,0.8956,46904145,72681
compound-v3,2025-05,155,5,3.1502,0.3790,0.8926,27966040,45009
compound-v3,2025-06,150,5,3.2110,0.4206,0.8842,21235270,36704
compound-v3,2025-07,145,5,4.3893,0.3586,0.9245,18844001,26846
compound-v3,2025-08,155,5,3.6399,0.3310,0.9167,21645237,30421
compound-v3,2025-09,150,5,3.2722,0.2328,0.9336,26547746,25394
compound-v3,2025-10,155,5,3.0979,0.2180,0.9343,26984875,24984
compound-v3,2025-11,150,5,3.2767,0.2715,0.9235,21918444,24459
compound-v3,2025-12,155,5,2.8692,0.2348,0.9244,22115729,22052
compound-v3,2026-01,155,5,2.8562,0.1319,0.9559,23937175,13409
compound-v3,2026-02,140,5,2.3978,0.1111,0.9557,43668425,18601
compound-v3,2026-03,155,5,2.2906,0.0920,0.9614,47890907,18714
compound-v3,2026-04,150,5,2.5140,0.0987,0.9622,38530194,15621
compound-v3,2026-05,155,5,2.5705,0.1007,0.9623,26336698,11258
compound-v3,2026-06,150,5,2.6663,0.0866,0.9685,24109857,8581
compound-v3,2026-07,155,5,2.6183,0.0808,0.9701,23912552,8208
compound-v3,2026-08,155,5,2.7953,0.0806,0.9720,21588374,7391
euler-v2,2024-09,18,3,0.6005,0.0000,1.0000,810650,0
euler-v2,2024-10,93,3,1.0509,0.0000,1.0000,639373,0
euler-v2,2024-11,113,4,0.9314,0.0000,1.0000,2791299,0
euler-v2,2024-12,130,5,1.5743,0.0000,1.0000,3336289,0
euler-v2,2025-01,169,6,2.6117,0.0000,1.0000,3078785,0
euler-v2,2025-02,164,6,2.0891,0.0000,1.0000,4178319,0
euler-v2,2025-03,190,8,2.1360,0.0000,1.0000,5685815,0
euler-v2,2025-04,238,8,2.3190,0.0000,1.0000,11037517,0
euler-v2,2025-05,346,13,1.4389,0.3374,0.8100,11598256,37101
euler-v2,2025-06,390,13,1.4421,0.2456,0.8545,12597102,33056
euler-v2,2025-07,403,13,1.9545,0.2514,0.8860,9276481,25748
euler-v2,2025-08,424,14,2.1575,0.1913,0.9185,7237659,16085
euler-v2,2025-09,412,18,1.9634,0.2218,0.8985,6506244,16292
euler-v2,2025-10,528,18,2.1882,3.3524,0.3949,6184489,299921
euler-v2,2025-11,559,19,2.7034,5.2871,0.3383,8486554,687176
euler-v2,2025-12,586,19,1.7310,4.9148,0.2605,13764931,1086135
euler-v2,2026-01,559,21,1.7879,5.0053,0.2632,16047231,1230137
euler-v2,2026-02,605,23,1.9623,4.4654,0.3053,14323140,1060135
euler-v2,2026-03,802,28,1.7556,3.7473,0.3190,10715097,882255
euler-v2,2026-04,863,30,1.9896,3.0228,0.3969,7568436,540914
euler-v2,2026-05,913,30,1.8383,2.4894,0.4248,4743281,295362
euler-v2,2026-06,1001,34,1.7199,1.3173,0.5663,2637889,95300
euler-v2,2026-07,1168,42,2.3103,1.5651,0.5961,3202849,160410
euler-v2,2026-08,1292,44,2.6524,1.3471,0.6632,3712323,177016
fluid-lending,2024-05,4,2,13.2522,0.0000,1.0000,52825556,0
fluid-lending,2024-06,60,2,12.4419,0.0000,1.0000,58870554,0
fluid-lending,2024-07,62,2,11.6710,0.0000,1.0000,67567322,0
fluid-lending,2024-08,62,2,10.6084,0.0000,1.0000,67596993,0
fluid-lending,2024-09,60,2,8.4474,0.0000,1.0000,74648448,0
fluid-lending,2024-10,164,8,5.8955,2.0783,0.7394,35680019,333179
fluid-lending,2024-11,270,9,7.8572,4.2298,0.6501,27077814,847234
fluid-lending,2024-12,317,28,9.1157,3.8929,0.7007,36251636,1225664
fluid-lending,2025-01,869,29,3.5717,1.4378,0.7130,37141947,1271422
fluid-lending,2025-02,838,30,2.7253,1.4714,0.6494,34549954,1167178
fluid-lending,2025-03,930,30,1.9241,1.3764,0.5830,31574639,1107328
fluid-lending,2025-04,900,30,1.7163,1.6718,0.5066,28293588,1166344
fluid-lending,2025-05,930,30,1.7107,1.3586,0.5574,36450764,1261807
fluid-lending,2025-06,930,32,2.0314,1.0766,0.6536,39970245,1096381
fluid-lending,2025-07,946,36,2.0620,1.1868,0.6347,47403303,1458149
fluid-lending,2025-08,974,37,2.3786,1.2932,0.6478,52573484,1814293
fluid-lending,2025-09,978,33,2.6380,1.2440,0.6795,53136005,1771146
fluid-lending,2025-10,1023,33,1.9989,1.2442,0.6163,53068923,1850671
fluid-lending,2025-11,1038,37,2.2199,1.0713,0.6745,40298130,1227671
fluid-lending,2025-12,1023,33,1.9848,0.7809,0.7177,42492064,929992
fluid-lending,2026-01,1023,33,1.8030,0.6944,0.7219,44139503,859084
fluid-lending,2026-02,951,35,1.6515,0.6646,0.7130,33559903,581136
fluid-lending,2026-03,1094,42,1.6606,0.6242,0.7268,31482938,589038
fluid-lending,2026-04,1234,42,2.4983,0.5227,0.8270,25381748,448523
fluid-lending,2026-05,1167,46,2.1312,0.4818,0.8156,25682687,395602
fluid-lending,2026-06,1431,50,2.5015,0.3885,0.8656,19980597,304312
fluid-lending,2026-07,1550,50,2.3979,0.1019,0.9592,20927188,90567
fluid-lending,2026-08,1550,50,2.2734,0.0531,0.9772,22423456,50561
moonwell-lending,2024-01,124,4,2.6326,5.0886,0.3410,2155207,37258
moonwell-lending,2024-02,116,4,3.3387,4.0841,0.4498,2615274,33945
moonwell-lending,2024-03,104,4,2.2303,7.5339,0.2284,4491256,96411
moonwell-lending,2024-04,116,4,0.7160,7.9982,0.0822,10639486,270446
moonwell-lending,2024-05,119,5,1.6020,4.3755,0.2680,13817842,197115
moonwell-lending,2024-06,110,5,1.9936,3.6330,0.3543,14889163,163018
moonwell-lending,2024-07,155,5,3.3727,2.8703,0.5402,11520432,140423
moonwell-lending,2024-08,257,11,4.1680,1.1306,0.7866,5122762,40781
moonwell-lending,2024-09,337,12,4.1527,0.8284,0.8337,4230287,32357
moonwell-lending,2024-10,382,13,2.9837,1.1737,0.7177,6633528,81483
moonwell-lending,2024-11,390,13,1.3590,1.2412,0.5227,11141504,147755
moonwell-lending,2024-12,403,13,0.6526,0.6166,0.5142,13641724,92874
moonwell-lending,2025-01,424,15,0.4156,0.5296,0.4397,11208387,68959
moonwell-lending,2025-02,397,16,0.3966,0.3857,0.5070,7596917,31870
moonwell-lending,2025-03,496,16,0.4045,0.3639,0.5265,6133961,30329
moonwell-lending,2025-04,448,16,0.5259,0.4294,0.5505,5532613,29159
moonwell-lending,2025-05,496,16,0.5395,0.5325,0.5033,7481553,54137
moonwell-lending,2025-06,288,16,0.5088,0.5311,0.4892,8193607,34339
moonwell-lending,2025-07,459,17,0.5394,0.4964,0.5207,9028530,56365
moonwell-lending,2025-08,527,17,0.4671,0.3803,0.5513,9762354,53599
moonwell-lending,2025-09,510,17,0.4538,0.2824,0.6165,9108063,35933
moonwell-lending,2025-10,425,17,0.4465,0.3429,0.5656,8463034,33786
moonwell-lending,2025-11,492,17,0.7350,0.3268,0.6923,5149546,22682
moonwell-lending,2025-12,527,17,0.5203,0.2588,0.6678,3978328,14865
moonwell-lending,2026-01,527,17,0.4888,0.2285,0.6814,3811926,12578
moonwell-lending,2026-02,476,17,0.7689,0.2531,0.7523,2045886,6753
moonwell-lending,2026-03,527,17,0.9207,0.2892,0.7609,1603720,6697
moonwell-lending,2026-04,510,17,0.7977,0.2885,0.7344,1637760,6603
moonwell-lending,2026-05,522,18,0.4915,0.2571,0.6566,1859828,6838
moonwell-lending,2026-06,523,18,0.2600,0.1491,0.6355,1877679,4011
moonwell-lending,2026-07,548,18,0.2996,0.1344,0.6903,1819711,3672
moonwell-lending,2026-08,558,18,0.8087,0.0819,0.9080,1671119,2093
morpho-blue,2024-02,56,4,5.5962,3.3687,0.6242,10811374,55878
morpho-blue,2024-03,124,4,11.4632,3.6529,0.7583,17855942,221589
morpho-blue,2024-04,169,6,5.6129,1.3472,0.8064,19941259,124389
morpho-blue,2024-05,214,13,12.5621,0.8439,0.9370,23036346,113982
morpho-blue,2024-06,467,19,7.1782,0.2081,0.9718,20386655,54270
morpho-blue,2024-07,628,21,4.9511,0.2026,0.9607,20328429,70877
morpho-blue,2024-08,701,23,3.3233,0.1230,0.9643,17968916,42457
morpho-blue,2024-09,707,27,4.4101,0.0529,0.9882,16546227,16950
morpho-blue,2024-10,867,31,3.7470,0.0854,0.9777,19421485,39406
morpho-blue,2024-11,552,30,4.5563,0.0351,0.9924,22231387,11796
morpho-blue,2024-12,516,17,6.7960,0.0000,1.0000,36678303,0
morpho-blue,2025-01,596,21,6.6039,0.8349,0.8878,40118706,546965
morpho-blue,2025-02,609,22,5.6817,1.6701,0.7728,32477574,905005
morpho-blue,2025-03,682,22,4.6875,0.9105,0.8373,34020757,578795
morpho-blue,2025-04,660,22,4.3714,0.5546,0.8874,30469648,305569
morpho-blue,2025-05,674,26,4.4020,0.7959,0.8469,40649331,597432
morpho-blue,2025-06,854,29,4.4584,0.3581,0.9257,42124838,352924
morpho-blue,2025-07,891,29,4.9217,0.5079,0.9065,53732547,666207
morpho-blue,2025-08,924,30,5.2930,0.6144,0.8960,67144749,1044353
morpho-blue,2025-09,922,31,5.3347,0.3629,0.9363,78015583,715208
morpho-blue,2025-10,1053,35,4.8701,0.1760,0.9651,82632572,419610
morpho-blue,2025-11,1067,36,4.5383,0.2915,0.9396,83695096,713199
morpho-blue,2025-12,1591,54,4.0710,0.2670,0.9384,49141628,571951
morpho-blue,2026-01,1759,62,3.7797,0.3295,0.9198,52676994,836430
morpho-blue,2026-02,1742,63,3.1667,0.5492,0.8522,46344914,1214710
morpho-blue,2026-03,2070,69,2.8216,0.8440,0.7698,54349151,2601297
morpho-blue,2026-04,2182,77,3.3738,0.8129,0.8058,50174734,2438364
morpho-blue,2026-05,2396,80,3.3786,0.7554,0.8173,46337163,2297757
morpho-blue,2026-06,2525,90,3.5231,0.8572,0.8043,42313293,2509271
morpho-blue,2026-07,3831,201,2.3665,0.7232,0.7659,48765737,3701548
morpho-blue,2026-08,6478,220,1.4015,0.6782,0.6739,56592179,6811764
sparklend,2024-01,124,4,0.3201,0.0000,1.0000,430053208,0
sparklend,2024-02,116,4,0.1983,0.0000,1.0000,665316687,0
sparklend,2024-03,124,4,0.4131,0.0000,1.0000,828540146,0
sparklend,2024-04,120,4,0.5356,0.0000,1.0000,643540460,0
sparklend,2024-05,124,4,0.4293,0.0000,1.0000,599235066,0
sparklend,2024-06,134,5,0.3247,0.0000,1.0000,650275677,0
sparklend,2024-07,155,5,0.2729,0.0000,1.0000,581029786,0
sparklend,2024-08,155,5,0.2596,0.0000,1.0000,500522041,0
sparklend,2024-09,150,5,0.2775,0.0000,1.0000,450623994,0
sparklend,2024-10,186,6,0.2828,0.0000,1.0000,380221222,0
sparklend,2024-11,180,6,0.2379,0.0000,1.0000,598660911,0
sparklend,2024-12,186,6,0.2601,0.0000,1.0000,759841744,0
sparklend,2025-01,186,6,0.4523,0.0000,1.0000,589532866,0
sparklend,2025-02,168,6,0.4322,0.0000,1.0000,489905466,0
sparklend,2025-03,214,8,0.3607,0.0000,1.0000,342200819,0
sparklend,2025-04,224,8,0.2927,0.0000,1.0000,272036610,0
sparklend,2025-05,217,7,0.1656,0.0000,1.0000,390855519,0
sparklend,2025-06,210,7,0.1682,0.0000,1.0000,423585451,0
sparklend,2025-07,217,7,0.1955,0.0000,1.0000,542727083,0
sparklend,2025-08,238,8,0.2026,0.0000,1.0000,602722016,0
sparklend,2025-09,240,8,0.2119,0.0000,1.0000,598562313,0
sparklend,2025-10,248,8,0.2160,0.0000,1.0000,642795018,0
sparklend,2025-11,240,8,0.2357,0.0000,1.0000,509848418,0
sparklend,2025-12,248,8,0.1837,0.0000,1.0000,368444701,0
sparklend,2026-01,248,8,0.2063,0.0000,1.0000,392937512,0
sparklend,2026-02,224,8,0.2163,0.0000,1.0000,270020847,0
sparklend,2026-03,248,8,0.1804,0.0000,1.0000,223602418,0
sparklend,2026-04,241,9,0.1321,0.0000,1.0000,281311005,0
sparklend,2026-05,261,9,0.2190,0.0000,1.0000,375163347,0
sparklend,2026-06,270,9,0.2649,0.0000,1.0000,360351347,0
sparklend,2026-07,279,9,0.2741,0.0000,1.0000,392311886,0
sparklend,2026-08,279,9,0.2760,0.0000,1.0000,444267495,0
venus-core-pool,2024-01,310,10,2.7235,0.0475,0.9829,87764434,35405
venus-core-pool,2024-02,290,10,2.6375,0.0405,0.9849,100664546,32357
venus-core-pool,2024-03,310,10,1.1978,0.0359,0.9709,149637693,45661
venus-core-pool,2024-04,300,10,1.5549,0.0282,0.9822,156475706,36227
venus-core-pool,2024-05,310,10,1.1439,0.0224,0.9808,160187037,30517
venus-core-pool,2024-06,300,10,1.1332,0.0184,0.9840,164739641,24882
venus-core-pool,2024-07,310,10,0.5672,0.0172,0.9705,153316398,22439
venus-core-pool,2024-08,310,10,0.7834,0.0185,0.9770,147417070,23101
venus-core-pool,2024-09,300,10,0.8645,0.0083,0.9904,157765770,10812
venus-core-pool,2024-10,317,11,0.8156,0.0000,1.0000,158700461,0
venus-core-pool,2024-11,330,11,0.8934,0.0000,1.0000,158610022,0
venus-core-pool,2024-12,341,11,1.2611,0.0000,1.0000,158324142,0
venus-core-pool,2025-01,341,11,1.3261,0.0000,1.0000,155356823,0
venus-core-pool,2025-02,308,11,0.9643,0.0000,1.0000,151658904,0
venus-core-pool,2025-03,341,11,1.1745,0.0000,1.0000,140986017,0
venus-core-pool,2025-04,330,11,1.0624,0.0000,1.0000,139181845,0
venus-core-pool,2025-05,341,11,0.3783,0.0000,1.0000,145759567,0
venus-core-pool,2025-06,364,13,0.3004,0.0000,1.0000,124188810,0
venus-core-pool,2025-07,403,13,0.1304,0.0000,1.0000,129445230,0
venus-core-pool,2025-08,403,13,0.1227,0.0000,1.0000,138846795,0
venus-core-pool,2025-09,388,14,0.2795,0.0000,1.0000,141644945,0
venus-core-pool,2025-10,401,13,0.4986,0.0000,1.0000,150241522,0
venus-core-pool,2025-11,390,13,0.4980,0.0000,1.0000,121720745,0
venus-core-pool,2025-12,403,13,0.4158,0.0000,1.0000,110734663,0
venus-core-pool,2026-01,422,14,0.2915,0.0000,1.0000,116512495,0
venus-core-pool,2026-02,392,14,0.2306,0.0000,1.0000,91245774,0
venus-core-pool,2026-03,434,14,0.2539,0.0000,1.0000,86318850,0
venus-core-pool,2026-04,420,14,0.3567,0.0000,1.0000,82183497,0
venus-core-pool,2026-05,434,14,0.3521,0.0000,1.0000,81889683,0
venus-core-pool,2026-06,420,14,0.3538,0.0000,1.0000,71487735,0
venus-core-pool,2026-07,434,14,0.3366,0.0000,1.0000,71632723,0
venus-core-pool,2026-08,434,14,0.3279,0.0000,1.0000,79010654,0
